asset_id;name;latitude;longitude;country;production;firm
M2764;Parascole East & West Coal Mine;23,645281;87,186307;India;0,13;Coal India Ltd [100.0%]
M2766;Khas Kajora Coal Mine;23,627811;87,19499;India;0,136;Coal India Ltd [100.0%]
M2770;Chapapur II Coal Mine;23,804826;86,675476;India;0,44;Coal India Ltd [100.0%]
M2771;Nakrakonda Coal Mine;23,679182;87,287229;India;1,51;Coal India Ltd [100.0%]
M2773;Tandsi Coal Mine;22,185722;78,32259627;India;0,06;Coal India Ltd [100.0%]
M2776;Giral Coal Mine;26,0124;71,1347;India;0,19;Rajasthan State Mines and Minerals limited (RSMML) [100%]
M2777;Nirsha OC Patch Coal Mine;23,784425;86,718939;India;0,148;Coal India Ltd [100.0%]
M2791;Rajpura Coal Mine;23,75873451;86,7731741;India;0,076;Coal India Ltd [100.0%]
M2792;Bokaro Opencast Coal Mine;23,787063;85,923633;India;0,31;Coal India Ltd [100.0%]
M2793;Rajur-Bhandewada Coal Mine;20,11356;78,896;India;0,05;Coal India Ltd [100.0%]
M2794;PVK-5 Coal Mine;17,51172416;80,67151956;India;0,206;The Singareni Collieries Co Ltd [100%]
M2800;IK 1A Coal Mine;18,8063;79,5208;India;0,1;The Singareni Collieries Co Ltd [100%]
M2807;Gondudih Khas Kusunda Coal Mine;23,804;86,3773;India;1,5;Coal India Ltd [100.0%]
M2812;Gayatri Coal Mine;23,1097;82,9051;India;0,19;Coal India Ltd [100.0%]
M2816;Shankarpur Coal Mine;23,66654149;87,20491618;India;0,789;Coal India Ltd [100.0%]
M2817;Belgaon Coal Mine;20,329522;78,95774;India;0,15;Sunflag Iron and Steel Co Ltd [100%]
M2821;KTK 8&8A Coal Mine;18,4639;79,8611;India;0,28;The Singareni Collieries Co Ltd [100%]
M2822;Vastan Lignite Mine;21,43101702;73,11261772;India;0,52;Gujarat Industries Power Co Ltd [100%]
M2826;Matasukh & Kasnau Coal Mine;27,03;74,024;India;0,29;Rajasthan State Mines and Minerals limited (RSMML) [100%]
M2831;Marki Mangli Coal Mines;19,83938305;78,80448632;India;0,11;"B.S. Ispat Limited [50%]; Topworth Urja and Metals Ltd [50%]"
M2833;Shiwani Coal Mine;23,3498;83,0743;India;0,18;Coal India Ltd [100.0%]
M2834;Tapin South Coal Mine;23,8329;85,4729;India;1;Coal India Ltd [100.0%]
M2835;Bhowrah (South) Coal Mine;23,681905;86,400533;India;0,7068;Coal India Ltd [100.0%]
